subject,froi,task1,task2,effect1,effect2,fisher_z
040,LMFG,EventsOrig,EventsOrig,Perc_sent,Perc_sent,0.13602746126886298
040,LAntTemp,EventsOrig,EventsOrig,Perc_sent,Perc_sent,0.2642602681713358
040,LPostTemp,EventsOrig,EventsOrig,Perc_sent,Perc_sent,0.9850471893076163
040,LAngG,EventsOrig,EventsOrig,Perc_sent,Perc_sent,-0.06518166797951369
057,LIFG_orb,SWNloc,SWNloc,S,S,0.8959941268790125
057,LIFG,SWNloc,SWNloc,S,S,0.4009495227513294
057,LMFG,SWNloc,SWNloc,S,S,0.47903268837882834
057,LAntTemp,SWNloc,SWNloc,S,S,0.9169592502435959
057,LPostTemp,SWNloc,SWNloc,S,S,0.848682080253584
057,LAngG,SWNloc,SWNloc,S,S,0.13246425455399854
057,LIFG_orb,SWNloc,SWNloc,S,W,1.0180832319692057
057,LIFG,SWNloc,SWNloc,S,W,0.28831743437294294
057,LMFG,SWNloc,SWNloc,S,W,0.6352603648181533
057,LAntTemp,SWNloc,SWNloc,S,W,1.098594443137949
057,LPostTemp,SWNloc,SWNloc,S,W,0.929571880541336
057,LAngG,SWNloc,SWNloc,S,W,0.07883031704912348
057,LIFG_orb,SWNloc,SWNloc,S,N,0.5135408250705988
057,LIFG,SWNloc,SWNloc,S,N,0.10060255213438352
057,LMFG,SWNloc,SWNloc,S,N,-0.04883968579350628
057,LAntTemp,SWNloc,SWNloc,S,N,0.6571879548041645
057,LPostTemp,SWNloc,SWNloc,S,N,0.3254286734497404
057,LAngG,SWNloc,SWNloc,S,N,-0.15239936775872437
057,LIFG_orb,SWNloc,EventsOrig,S,Sem_photo,0.22310735163017395
057,LIFG,SWNloc,EventsOrig,S,Sem_photo,0.12112987518504968
057,LMFG,SWNloc,EventsOrig,S,Sem_photo,0.17397640889538663
057,LAntTemp,SWNloc,EventsOrig,S,Sem_photo,0.4217768674916172
057,LPostTemp,SWNloc,EventsOrig,S,Sem_photo,0.5987870388958276
057,LAngG,SWNloc,EventsOrig,S,Sem_photo,0.613083245539863
057,LIFG_orb,SWNloc,EventsOrig,S,Perc_photo,-0.11791032922291116
057,LIFG,SWNloc,EventsOrig,S,Perc_photo,-0.23912889647113175
057,LMFG,SWNloc,EventsOrig,S,Perc_photo,-0.11764560825617491
057,LAntTemp,SWNloc,EventsOrig,S,Perc_photo,-0.019215754131029317
057,LPostTemp,SWNloc,EventsOrig,S,Perc_photo,0.056575984903219426
057,LAngG,SWNloc,EventsOrig,S,Perc_photo,-0.28792600030478377
057,LIFG_orb,SWNloc,EventsOrig,S,Sem_sent,1.1281987015693182
057,LIFG,SWNloc,EventsOrig,S,Sem_sent,0.4613906527811231
057,LMFG,SWNloc,EventsOrig,S,Sem_sent,0.34044624504874743
057,LAntTemp,SWNloc,EventsOrig,S,Sem_sent,0.884021843124384
057,LPostTemp,SWNloc,EventsOrig,S,Sem_sent,0.9335368947800854
057,LAngG,SWNloc,EventsOrig,S,Sem_sent,0.5174666754477256
057,LIFG_orb,SWNloc,EventsOrig,S,Perc_sent,0.31907087564052
057,LIFG,SWNloc,EventsOrig,S,Perc_sent,0.032826347226747994
057,LMFG,SWNloc,EventsOrig,S,Perc_sent,0.06005262982982126
057,LAntTemp,SWNloc,EventsOrig,S,Perc_sent,0.29508512458200653
057,LPostTemp,SWNloc,EventsOrig,S,Perc_sent,0.2564156806664003
057,LAngG,SWNloc,EventsOrig,S,Perc_sent,0.15373356318920384
057,LIFG_orb,SWNloc,SWNloc,W,S,0.9921157576271894
057,LIFG,SWNloc,SWNloc,W,S,0.2569152038589668
057,LMFG,SWNloc,SWNloc,W,S,0.552793864832454
057,LAntTemp,SWNloc,SWNloc,W,S,0.9704390655271107
057,LPostTemp,SWNloc,SWNloc,W,S,0.8522650836197103
057,LAngG,SWNloc,SWNloc,W,S,0.12377542914886776
057,LIFG_orb,SWNloc,SWNloc,W,W,1.1054794197251054
057,LIFG,SWNloc,SWNloc,W,W,0.3225580292540358
057,LMFG,SWNloc,SWNloc,W,W,0.7182660314087489
057,LAntTemp,SWNloc,SWNloc,W,W,1.4117364284046021
057,LPostTemp,SWNloc,SWNloc,W,W,1.1614016403491334
057,LAngG,SWNloc,SWNloc,W,W,0.3219682576187193
057,LIFG_orb,SWNloc,SWNloc,W,N,0.5360899021179074
057,LIFG,SWNloc,SWNloc,W,N,0.07543780654349395
057,LMFG,SWNloc,SWNloc,W,N,0.06739099131018295
