froi,size,effect_run,froi_run,subject,effect
6,2.0125548746940254,3,orth3,070,S
1,1.5773390177807607,1,orth1,070,W
1,2.7721523591855757,2,orth2,070,W
1,1.7641455612215056,3,orth3,070,W
2,0.5507602379686073,1,orth1,070,W
2,1.5145443638349756,2,orth2,070,W
2,0.2829143807671412,3,orth3,070,W
3,0.08440950672411418,1,orth1,070,W
3,0.6796405776403844,2,orth2,070,W
3,0.6473117146524601,3,orth3,070,W
4,1.278583256653636,1,orth1,070,W
4,1.4660138428664289,2,orth2,070,W
4,-0.1334339644740917,3,orth3,070,W
5,2.842217831507973,1,orth1,070,W
5,2.1925147387968456,2,orth2,070,W
5,1.2190859063487987,3,orth3,070,W
6,1.8308487292882558,1,orth1,070,W
6,2.7779915079071715,2,orth2,070,W
6,1.5033669872083575,3,orth3,070,W
1,0.7424402192558105,1,orth1,070,N
1,1.9752808002260875,2,orth2,070,N
1,1.2428452921841218,3,orth3,070,N
2,0.39763568137645905,1,orth1,070,N
2,0.9180365604130022,2,orth2,070,N
2,-0.5361949400537946,3,orth3,070,N
3,-0.5933867287239991,1,orth1,070,N
3,0.12420377514354186,2,orth2,070,N
3,0.23359486570188892,3,orth3,070,N
4,0.7247300473595591,1,orth1,070,N
4,1.552583210573003,2,orth2,070,N
4,-0.5022616062464343,3,orth3,070,N
5,1.4533071533736328,1,orth1,070,N
5,2.1032667801431986,2,orth2,070,N
5,0.22370574240694227,3,orth3,070,N
6,1.1709182767600224,1,orth1,070,N
6,3.7148663449931787,2,orth2,070,N
6,1.1337595840765011,3,orth3,070,N
1,1.490561191300659,1,orth1,087,S
1,0.6514035912712111,2,orth2,087,S
1,1.3663718716501176,3,orth3,087,S
2,1.2422899557852451,1,orth1,087,S
2,0.8584547466224772,2,orth2,087,S
2,0.7465264255606374,3,orth3,087,S
3,0.3634703617753985,1,orth1,087,S
3,-0.09459825485828333,2,orth2,087,S
3,0.5018349059018874,3,orth3,087,S
4,1.9341757229491565,1,orth1,087,S
4,0.8287679677753633,2,orth2,087,S
4,1.7197095723571003,3,orth3,087,S
5,1.8210402500370275,1,orth1,087,S
